,game_id,game_name,score,tone,strategy based gameplay,game design,difficulty,skill based gameplay,enjoyment,luck based gameplay,world building,ignore,visuals,technical performance,innovative,playthrough time,value,narrative,multiplayer,sound track
0,0,Disco Elysium: The Final Cut,97.27272727272727,,,,,,,,-0.25,0.2023,,,,,,0.0,,
1,1,Final Fantasy XIV: Endwalker,91.96296296296296,,,,,,,,,0.0,,,,,,0.0,,
2,2,Forza Horizon 5,91.1,,,0.248725,,,,,,,,,,,,,,
3,3,Chicory: A Colorful Tale,89.78260869565217,,,,,,,,,0.24753333333333336,,-0.4404,,,,,,
4,4,Psychonauts 2,88.97058823529412,,,0.4019,,,,,,-0.4767,,-0.19063333333333332,0.4019,,,,,
5,5,Streets of Rage 4: Mr. X Nightmare,88.18181818181819,,,,,,,,,,,,,,,,,
6,6,It Takes Two,89.0,,,0.1366,,,,,0.0,0.064,,,0.0,0.128,,0.0,,
7,7,Hitman 3,86.84210526315789,,,0.6369,,,,,0.4019,,,,0.4019,,,0.0,,
8,8,Wildermyth,85.61904761904762,,,0.6369,,,,,0.0,0.4019,,,,,,0.0,,
9,9,Final Fantasy VII Remake Intergrade,86.22222222222223,,,0.4404,,,,,,0.4404,,,,,,,,
10,10,Deathloop,85.375,,,,,,,,-0.2023,,,,,,,,,
11,11,Mass Effect Legendary Edition,85.67857142857143,,,,,,,,,,,,,,,,,
12,12,Nioh 2: The Complete Edition,85.88888888888889,0.128,,0.0,,,,,,,,,,,,0.064,,0.0
13,13,Mini Motorways,85.375,,,,,,,,,,,,,,,,,
14,14,ENDER LILIES: Quietus of the Knights,85.42307692307692,,,,,,0.6767333333333333,,,,,,,,,0.6369,,
15,15,F1 2021,85.43333333333334,,,,,,,,,,,,,,,0.0,,
16,16,Guilty Gear -Strive-,85.08333333333333,,,0.5574,,,,,,-0.074175,,,,,,-0.3412,,
17,17,Metro Exodus: Complete Edition,85.2,,,,,,,,,,,,0.0,,,0.0,,
