,id,name,developer,release_date,metascore,review_platform,other_platforms,genres,summary,online_player_num,rating
0,0,Disco Elysium: The Final Cut                                                        PC                                                    ,ZA/UM,"Mar 30, 2021",97,PC,"iPhone/iPad,PlayStation4,PlayStation5,Stadia,Switch,XboxOne,XboxSeriesX","Role-Playing,General","Disco Elysium - The Final Cut is the definitive edition of the smash-hit RPG. Pursue your political dreams in new quests, meet and question more of the city's locals, and explore a whole extra area. Full voice-acting, controller support, and expanded language options also included. Get even more out of this award-winning open world. You're a detective with a unique skill system at your disposal and a whole city block to carve your path across. Interrogate unforgettable characters, crack murders, or take bribes. Become a hero or an absolute disaster of a human being.",NoOnlineMultiplayer,M
1,1,Final Fantasy XIV: Endwalker                                                        PC                                                    ,SquareEnix,"Dec  7, 2021",92,PC,"PlayStation4,PlayStation5","Role-Playing,MassivelyMultiplayer","Endwalker is the fourth expansion pack for FINAL FANTASY XIV Online. Experience the climax of the Hydaelyn and Zodiark story, and encounter an even greater calamity than ever before as you travel to the far reaches of Hydaelyn and even to the moon.",,
2,2,Forza Horizon 5                                                        PC                                                    ,PlaygroundGames,"Nov  9, 2021",91,PC,"XboxOne,XboxSeriesX","Racing,Simulation,Automobile","Your Ultimate Horizon Adventure awaits! Explore the vibrant and ever-evolving open world landscapes of Mexico with limitless, fun driving action in hundreds of the world’s greatest cars. ",,E
3,3,Chicory: A Colorful Tale                                                        PC                                                    ,GregLobanov,"Jun 10, 2021",90,PC,"PlayStation4,PlayStation5,Switch","Adventure,General","Something terrible happened. Chicory, superstar artist and wielder of the Brush, is missing, and all the color in the land vanished with her. It's up to you, Chicory's number one fan, to pick up the Brush and fill in for her. It's a big job but you're ready for it! Probably! Chicory: A Colorful Tale is a top-down adventure game in a coloring book world where you can draw on anything. Use your painting powers to explore new places, solve puzzles, help your friends, and change the world!",NoOnlineMultiplayer,
4,4,Psychonauts 2                                                        PC                                                    ,DoubleFineProductions,"Aug 25, 2021",89,PC,"PlayStation4,XboxOne,XboxSeriesX","Action,Platformer,3D,Beat-'Em-Up,ActionAdventure,Open-World","Razputin Aquato, trained acrobat and powerful young psychic, has realized his life long dream of joining the international psychic espionage organization known as the Psychonauts! But these psychic super spies are in trouble. Their leader hasn't been the same since he was kidnapped, and what's worse, there's a mole hiding in headquarters. Raz must use his powers to stop the mole before they execute their secret plan--to bring the murderous psychic villain, Maligula, back from the dead.",NoOnlineMultiplayer,T
5,5,Streets of Rage 4: Mr. X Nightmare                                                        PC                                                    ,Lizardcube,"Jul 15, 2021",88,PC,"PlayStation4,Switch,XboxOne","Action,Beat-'Em-Up,2D","The fight continues in Wood Oak City. After the events of Streets of Rage 4, our heroes wanted to prepare themselves for future threats. Axel, Blaze and their mates will start a very special deranged training with the help of Dr. Zan, who built an AI program from the remnants of Mister X’s brain that simulates every kind of danger they could be facing.

With this new DLC, get ready for:

• 3 new playable characters
• A new Survival mode with weekly challenges
• Character customization: build your own fighting style with new moves
• New weapons and enemies! ",,
6,6,It Takes Two                                                        PC                                                    ,Hazelight,"Mar 26, 2021",88,PC,"PlayStation4,PlayStation5,XboxOne,XboxSeriesX","ActionAdventure,Linear","From Hazelight comes It Takes Two an innovative co-op adventure where uniquely varied gameplay and emotional storytelling intertwine in a fantastical journey. Founded to push the creative boundaries of what's possible in games, Hazelight is the award-winning studio behind the critically acclaimed A Way Out and Brothers: A Tale of Two Sons.

Something out of the ordinary
Bring your favorite co-op partner and together step into the shoes of May and Cody. As the couple is going through a divorce, through unknown means their minds are transported into two dolls which their daughter, Rose, made to represent them. Now they must reluctantly find a way to get back into their bodies, a quest which takes them through the most wild, unexpected and fantastical journey imaginable.",2PlayersNoOnlineMultiplayer,T
7,7,Hitman 3                                                        PC                                                    ,IoInteractive,"Jan 20, 2021",87,PC,"PlayStation4,PlayStation5,Stadia,Switch,XboxOne,XboxSeriesX","ActionAdventure,General","Death Awaits 

HITMAN 3 is the dramatic conclusion to the World of Assassination trilogy and takes players around the world on a globetrotting adventure to sprawling sandbox locations. Agent 47 returns as a ruthless professional for the most important contracts of his entire career.

Supported by his Agency handler, Diana Burnwood, 47 joins forces with his long-lost friend Lucas Grey. Their ultimate mission is to eliminate the partners of Providence, but they are forced to adapt as their hunt intensifies. When the dust settles, 47 and the world he inhabits will never be the same again. 

Top of the World
Every mission location in HITMAN 3 is meticulously detailed and packed full of creative opportunities. Players will have unrivalled freedom to complete their objectives and the game world will react to everything they do. 

A Platform of Assassination
The World of Assassination trilogy is fully realised with HITMAN 3 as the ultimate place to play all three games. Players of previous HITMAN games will be pleased to know that it will be possible to 'import' locations that they own from the previous two HITMAN games into HITMAN 3, essentially putting all 20+ locations from the entire trilogy in one place.

Playing the entire trilogy from beginning to end, from within HITMAN 3, also means that the progression systems in HITMAN 3 work across all locations. You can unlock an item in Dubai and take it with you to Paris, for example. HITMAN 2 players will have the option to carry over their hard-earned unlocks and progression into HITMAN 3.",NoOnlineMultiplayer,M
8,8,Wildermyth                                                        PC                                                    ,WorldwalkerGames,"Jun 15, 2021",87,PC,,"Role-Playing,General,Strategy,Turn-Based,Tactics","We call Wildermyth a myth-making tactical RPG. It empowers you to craft iconic characters who grow through deep, rewarding battles and interactive storytelling.
",NoOnlineMultiplayer,
9,9,Final Fantasy VII Remake Intergrade                                                        PC                                                    ,SquareEnix,"Dec 16, 2021",86,PC,PlayStation5,"Role-Playing,ActionRPG","FINAL FANTASY VII REMAKE INTERGRADE takes advantage of the latest generation hardware and includes a wealth of graphical, gameplay and system enhancements for the PS5: 

* Immerse yourself in the city of Midgar like never before, with improved textures, lighting, and background environments. Players can switch between two game modes:
* ""Graphics Mode"" prioritizes 4K high-resolution graphics
* ""Performance Mode"" prioritizes smooth action at 60 frames per second
* Capture and share your memorable moments from the game with a fully customizable ""Photo Mode""
* Enjoy immersive battles by using the DualSense wireless controller, with its haptic feedback integration, and enjoy dynamic bike racing with its adaptive triggers.
* New difficulty settings for 'Classic Mode' provide new ways to play
* Jump into the action faster with optimized loading times

As well as introducing many exciting new enhancements, FINAL FANTASY VII REMAKE INTERGRADE also includes a brand-new episode featuring Yuffie as the main character. In this new adventure, play as ninja Yuffie Kisaragi as she infiltrates the shadowy Shinra Corporation to steal a powerful materia and restore glory to her homeland. Play alongside new characters and enjoy an expanded gameplay experience featuring multiple new combat and gameplay additions, bringing a new perspective to the FINAL FANTASY VII REMAKE story that cannot be missed.",NoOnlineMultiplayer,T
