title,score,critic,summary,score_critic,year
Grand Theft Auto: Liberty City Stories,88,Gamer 2.0,"On one hand, it is watered-down, it is not as interesting, it is relatively short, and the gameplay is not all that it could have been. On the other hand, it is a real GTA game in the palm of your hand, and it’s pretty well-made to say the least.",83,24-Oct-05
Grand Theft Auto: San Andreas,93,Gamer's Hell,"An absolute blast to play, if you can forgive it for not offering anything especially new to the franchise, and only if you can truly invest the time that it requires.",78,07-Jun-05
Grand Theft Auto: Chinatown Wars,93,IGN AU,"For Nintendo-only gamers out there – and these days, there are more of you than ever – this is an authentic Grand Theft Auto experience. It isn't watered down; it's as fun and foul-mouthed as any series-proper installment. While not perfect, it'll suck you in and keep you up at night like a chronic addiction. Hook it to our veins.",93,17-Mar-09
Grand Theft Auto: San Andreas,95,null,"Bigger and richer in every way - a near bottomless game painted end-to-end with stuff to do, or not. As far as free-form gaming goes, it remains the pinnacle. [Jan 2005, p.57]",88,26-Oct-04
Grand Theft Auto: Vice City,95,Thunderbolt,"It has the right blend of intense gameplay, an intricate place to explore, several hours of gameplay, a great selection of 80’s era music, a wonderful (if not a little cliched) story, and one of the most memorable antiheroes to ever set foot on the gaming scene.",90,27-Oct-02
Grand Theft Auto: Vice City Stories,86,null,"Better than ""Liberty City Stories"" in every single way, Vice City Stories is an astonishing achievement and one of the best games of the year on any system. [Issue #147, p.66]",96,31-Oct-06
Grand Theft Auto: Chinatown Wars,93,Official Nintendo Magazine UK,"Vast, visually stunning and every bit as good as any other GTA. And that's no mean feat.",94,17-Mar-09
Grand Theft Auto: San Andreas,93,CPUGamer,"This game is more than a game, and it's also more than a movie. It's a virtual playground, true, but its characters and main protagonist are human and real--albeit living by an extremely warped version of the conventional system of morals.",95,07-Jun-05
Grand Theft Auto: Vice City Stories,86,null,"Not only is this the greatest game on PSP, it also leaves a large percentage of the PS2 back catalogue looking ordinary. But it right now. [Dec 2006, p.76]",100,31-Oct-06
Grand Theft Auto: San Andreas,93,Stuff,"How do you improve on perfection? We'll tell you how: Take the same genius game that you played last fall on the PS2 and give everything a fresh coat of pixel paint... Then, remove the long load times, allow us to save 30-second replays to the hard drive for those you-won't-believe-this-booshiz moments and create personalized radio stations by ripping your CD collection to the hard drive.",100,07-Jun-05
Grand Theft Auto: Vice City Stories,86,null,"Vice City Stories, for all its frustration and lack of genuine originality is a sterling piece of work. If this is Grand Theft Auto III's swansong, then it could not have received a more fitting send-off. [Christmas 2006, p.102]",80,31-Oct-06
Grand Theft Auto: Vice City Stories,86,Total Video Games,"Vice City Stories is a much richer and well-rounded experience than its predecessor, though the addition of Wi-Fi Infrastructure mode is something that the series is crying out for.",80,31-Oct-06
Grand Theft Auto: Vice City,95,Gamer.tv,"Funny, unpredictable and astoundingly lacking in moral virtue, Vice City is way, way out there; you'll cherish every outrageous moment.",94,27-Oct-02
Grand Theft Auto: San Andreas,93,Next Level Gaming,Kudos to Rockstar for actually including gamepad support for the PC!!,98,07-Jun-05
Grand Theft Auto: Vice City,95,Gamenikki,"It's a game worth owning, for most, but it's not so revolutionary that it will make converts out of the skeptical. Perhaps in Grand Theft Auto 4. Time will tell.",80,27-Oct-02
Grand Theft Auto: Liberty City Stories,88,Electronic Gaming Monthly,"Although flawed, Liberty City Stories is a remarkable achievement; it shames the efforts that many other developers have put into their PSP games.",92,24-Oct-05
Grand Theft Auto: Chinatown Wars,90,Gamer Limit,"Once again, GTA proves that it is not affected by small stature - Chinatown Wars is the definitive handheld GTA experience that is further enhanced by the PSP's vastly superior presentation.",90,20-Oct-09
Grand Theft Auto: San Andreas,93,Computer Gaming World,"This latest GTA is an epic, involving experience, no doubt--but when you get past the expansive world and the RPG-like elements, it's the same epic, involving experience it was last year.",90,07-Jun-05
Grand Theft Auto: San Andreas,93,null,"As you can see, the improvements are basically cosmetic and do not affect the gameplay other than to make it look and sound better. If there was ever a reason to replay the game one more time this is it.",90,07-Jun-05
Grand Theft Auto: Chinatown Wars,90,Modojo,"Grand Theft Auto: Chinatown Wars has problems, but we're still giving it a hefty thumbs up.",80,20-Oct-09
Grand Theft Auto: Liberty City Stories,88,Play.tm,"The cop response isn't quite as overwhelming as in the console GTA's, but overall GTA Liberty City Stories is not only an amazing technical achievement but an awesome portable game worth any PSP owner's £35.",90,24-Oct-05
Grand Theft Auto: Chinatown Wars,90,Game Informer,"Regardless of the game’s mechanical simplicity, Rockstar has created an addictive, bite-sized serving of its patented “breaking the law” gameplay. Chinatown Wars jams an entire metropolis in your handheld that’s just begging to be exploited.",93,20-Oct-09
Grand Theft Auto: San Andreas,93,Jolt Online Gaming UK,"It’s not perfect – there’s still the odd gripe here and there, and wheeling the same game engine out for the next instalment would be unforgivable – but SA is easily the most polished instalment of the series to date.",93,07-Jun-05
Grand Theft Auto: San Andreas,95,GameBiz,"The fact that you can do whatever you want, gunning down rival gang members, impressing the girls, robbing the rich, breaking into the Army Depot, whether it is flying a plane, or pimping out your car, playing some pool, riding across country, the game play is endless.",90,26-Oct-04
Grand Theft Auto: Vice City Stories,75,null,"Same old GTA with an uninteresting plot and lame characters, but it is still pretty fun. The soundtrack is superb. [Apr 2007]",77,05-Mar-07
Grand Theft Auto: San Andreas,95,Warcry,There's so much to do in this game that it's outside of my range of imagination to be able to picture me reaching a 100% complete. Unfathomable.,95,26-Oct-04
Grand Theft Auto: Chinatown Wars,93,null,"Grand Theft Auto: Chinatown Wars is undoubtedly one of the must have purchases of the Nintendo DS generation - it is truly something to be behold, an experience to be enjoyed not just by yourself but by anyone you come across.",100,17-Mar-09
Grand Theft Auto: Chinatown Wars,90,Worth Playing,Chinatown Wars on the PSP is definitely worth picking up.,85,20-Oct-09
